3339,Silvio Berlusconi,Forza Italia,4,Milano,Lombardia
2677,Giulio Andreotti,Democrazia Cristiana,7,Roma,Lazio
2591,Alcide De Gasperi,Democrazia Cristiana,7,Trento,Trentino Alto Adige
2277,Aldo Moro,Democrazia Cristiana,5,Lecce,Puglia
1657,Amintore Fanfani,Democrazia Cristiana,6,Arezzo,Toscana
1608,Romano Prodi,L'Ulivo / Partito Democratico,2,Reggio Emilia,Emilia Romagna
1353,Bettino Craxi,Partito Socialista Italiano,2,Milano,Lombardia
1103,Mariano Rumor,Democrazia Cristiana,5,Vicenza,Veneto
1088,Antonio Segni,Democrazia Cristiana,2,Sassari,Sardegna
1024,Matteo Renzi,Partito Democratico,1,Firenze,Toscana
716,Giuliano Amato,Partito Socialista Italiano / L'Ulivo,2,Torino,Piemonte
561,Emilio Colombo,Democrazia Cristiana,1,Potenza,Basilicata
553,Massimo D'Alema,Democratici di Sinistra,2,Roma,Lazio
528,Mario Monti,Indipendente / Scelta Civica,1,Varese,Lombardia
521,Giovanni Spadolini,Partito Repubblicano Italiano,2,Firenze,Toscana
511,Mario Scelba,Democrazia Cristiana,1,Catania,Sicilia
486,Lamberto Dini,Indipendente / Rinnovamento Italiano,1,Firenze,Toscana
466,Ciriaco De Mita,Democrazia Cristiana,1,Avellino,Campania
457,Paolo Gentiloni,Partito Democratico,1,Roma,Lazio
440,Francesco Cossiga,Democrazia Cristiana,2,Sassari,Sardegna
408,Adone Zoli,Democrazia Cristiana,1,Forlì-Cesena,Emilia Romagna
377,Carlo Azeglio Ciampi,Indipendente,1,Livorno,Toscana
337,Giovanni Leone,Democrazia Cristiana,2,Napoli,Campania
300,Enrico Letta,Partito Democratico,1,Pisa,Toscana
259,Giovanni Goria,Democrazia Cristiana,1,Asti,Piemonte
253,Arnaldo Forlani,Democrazia Cristiana,1,Pesaro,Marche
155,Giuseppe Pella,Democrazia Cristiana,1,Biella,Piemonte
123,Fernando Tambroni,Democrazia Cristiana,1,Ascoli Piceno,Marche